team_id,event_id,tie_breaker,combined_score,season
51867,44924,14143133,60,154
135956,46633,14079989,0,154
59120,46633,14079991,0,154
90356,46912,14086633,49,155
89515,46912,14086641,33,155
130107,46582,15837799,13,155
89556,46912,14086647,29,155
91331,46912,14086649,27,155
101169,46284,12984055,35,155
73824,46912,14086657,17,155
101288,46912,14086659,15,155
89844,46284,12984061,24,155
129119,46912,14086663,12,155
90037,46912,14086665,12,155
136154,46912,14086669,6,155
131767,46912,14086671,6,155
135613,46873,14091761,22,155
79035,51000,25296505,44,174
51397,47089,15452723,290,154
90101,46825,16369109,200,154
133275,45130,15838295,350,154
134712,47428,14089813,0,154
